dataset,idx,variant_id,transform,target,validation_note,ai_label,ai_risk,ai_exclude_from_metrics,ai_notes
codexglue,23504,23504__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,8482,8482__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,24768,24768__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,24283,24283__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,7099,7099__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,4873,4873__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,20902,20902__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,20000,20000__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,18512,18512__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,10282,10282__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,23104,23104__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,20248,20248__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,1404,1404__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,3184,3184__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,21723,21723__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,15555,15555__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,11359,11359__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,12645,12645__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,24881,24881__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,26680,26680__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,7936,7936__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,547,547__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,8858,8858__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,21168,21168__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,305,305__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,18044,18044__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,6622,6622__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,3456,3456__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,19403,19403__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,10504,10504__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,574,574__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,18462,18462__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,18171,18171__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,21925,21925__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,23140,23140__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,15173,15173__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,13513,13513__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,19237,19237__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,5508,5508__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,23587,23587__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,false,Whitespace-only layout change; no executable token is intentionally introduced. Whitespace-normalized code matches.
codexglue,5490,5490__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,false,Opening-brace layout change; statement order and expressions are intentionally preserved. Whitespace-normalized code matches.
codexglue,22086,22086__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,false,Opening-brace layout change; statement order and expressions are intentionally preserved. Whitespace-normalized code matches.
codexglue,11748,11748__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,false,Opening-brace layout change; statement order and expressions are intentionally preserved. Whitespace-normalized code matches.
codexglue,24050,24050__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,false,Opening-brace layout change; statement order and expressions are intentionally preserved. Whitespace-normalized code matches.
codexglue,20541,20541__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,false,Opening-brace layout change; statement order and expressions are intentionally preserved. Whitespace-normalized code matches.
codexglue,24668,24668__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,false,Opening-brace layout change; statement order and expressions are intentionally preserved. Whitespace-normalized code matches.
codexglue,17742,17742__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,false,Opening-brace layout change; statement order and expressions are intentionally preserved. Whitespace-normalized code matches.
codexglue,19003,19003__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,false,Opening-brace layout change; statement order and expressions are intentionally preserved. Whitespace-normalized code matches.
